Country Name,Access to clean fuels and technologies for cooking (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),"Government expenditure on education, total (% of government expenditure)",Heat Index 35,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Methane emissions (metric tons of CO2 equivalent per capita),"Mortality rate, under-5 (per 1,000 live births)",Net migration,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,"School enrollment, primary (% gross)",Scientific and technical journal articles,Standardised Precipitation-Evapotranspiration Index,Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss (hectares),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Albania,0.8598790322580644,0.013981475646175957,0.008004958182868642,0.43787051028710916,0.3361109270267676,0.0017949059369319353,0.08349960918142856,0.10551948051948053,0.3225260783760925,0.2936429324407758,0.6913445941993804,0.16892765492296705,0.0,0.6592421109412927,0.47699418848079356,0.0028332530486445333,0.10576825787440998,0.06625441696113074,0.4584519764358979,0.0702451955324691,0.6842028619758062,0.5072875556823548,0.07734768186444704,0.03298969072164948,0.5433255269320841,0.7394514166218316,0.4627642953858973,0.4149642307089059,0.3547275576708745,0.00023854143321056369,0.6103967714545754,0.2539095837059121,0.000563519812935487,0.38560630256574047
Algeria,0.996975806451613,0.22321262634760639,0.0,0.19655933976519818,0.2702112118672739,0.05486130717499105,0.17777707163167092,0.3417207792207792,0.37722018607273744,0.005400256481742052,0.6576206678126392,0.2840702630941917,0.1549519275646411,0.08102580239144097,0.8804385869500883,0.08675755600279926,0.23084025123865837,0.1793286219081272,0.4507955415503964,0.05424943475467979,0.45826294583686256,0.15623411976545779,0.012625518304220193,0.0,0.049623393885689066,0.060542234046973065,0.0,0.23134287415302515,0.501182212900085,0.008483361152715344,0.22551664989426512,0.0787081515125113,0.006842788333468698,0.42702012136697537
Argentina,0.998991935483871,0.035810168716490454,0.0,0.48808555155178424,0.11980550827858971,0.008085997975720918,0.19827357377182647,0.18425324675324672,0.3600225542712151,0.10411202944334084,0.6933799261495368,0.2552960783977358,0.01726873891533651,0.5928481524768496,0.5992733608751092,0.006445554155176807,0.3382788902899173,0.04328621908127209,0.4675171004258496,0.25015440463488764,0.6514719532706723,0.3606790553086365,0.011232126870779256,0.014432989690721654,0.70486584283867,0.6549703272294087,0.10092698677221124,0.3282332992781287,0.5220189510223529,0.014516670650818254,0.33850658312588183,0.17105901270556043,0.06747598272541043,0.23506866815713828
Armenia,0.9879032258064515,0.06293005928801228,0.015724741139029726,0.6758107636870859,0.17343061517239294,0.025948300149659455,0.1185927596429345,0.23620129870129863,0.12019547035053102,0.11574971701272202,0.8490024907036736,0.16306171661957516,0.0,0.6896295963319246,0.41910469260731853,0.035828787004453695,0.09116478382661673,0.07685512367491165,0.45551911894050123,0.0844417540624361,0.44364916384951614,0.3850421709937578,0.07381894198469333,0.0,0.5397440004457015,0.7895457768345919,0.08572023747526301,0.4141963223663352,0.3236327222915979,0.0008838993342012363,0.2858250529595135,0.4422066912269742,1.671173822465857e-06,0.289612832250967
Australia,1.0,0.10861040800874121,0.007092950839822954,0.5436475648029757,0.04927044868581917,0.0010604104900803412,0.671220425065842,0.2573051948051948,0.38549008551827824,0.17646243616288962,0.67938413909443,0.28512441885966977,0.0767292075049006,0.8425110132158589,0.775247557749177,0.0020459759547010125,0.6067004066488502,0.01501766784452297,0.5589395204920367,0.4372121855422484,0.9000972747262941,0.52202053042219,0.0009159973055511063,0.0,0.5915456815467678,0.843510760237278,0.11186334756796168,0.8765323158951366,0.40442769500284437,0.09090639921437804,0.6842877975041809,0.5755439670154636,0.08724997986235543,0.12069271443273358
Austria,1.0,0.0014463185912353504,0.0016574402108183743,0.3605718935255144,0.02244362998948855,0.00395178044592907,0.29658851953742255,0.14366883116883117,0.2760078939949253,0.48432080256502313,0.6903271868629587,0.1341446815514559,0.0,0.8188663130450415,0.3218910018604271,0.005933228005983813,0.08430437011329113,0.01501766784452297,0.4817305441130874,0.08522602728096061,0.8221455451360111,0.626421535587621,0.08190023025926864,0.0,0.6375607730082343,0.8261309459781627,0.37100302051869605,0.9304500963657076,0.42414665352560343,0.02044486424445181,0.47546172551533855,0.5285863050764852,0.00556567729834029,0.1792469569537599
Azerbaijan,0.9889112903225806,0.2821746774530718,0.0,0.6669766360571894,0.11163127657719416,0.09769779755130917,0.19634130693293161,0.2913961038961039,0.5444976975848136,0.1394829043869161,0.6864607187968645,0.28050011273283537,0.0016802016241949033,0.7766115256675354,0.5860340421092237,0.034887627474504454,0.17892772056223613,0.14664310954063609,0.4665204983643071,0.09771669621804616,0.40812458534215335,0.17249106411531642,0.09277875081136325,0.0,0.23248882265275655,0.9181135101363322,0.011248828247057599,0.28858280173583906,0.4030380586321106,0.001472458811811026,0.3813868309570538,0.09876621736457218,2.8409954981919568e-05,0.19244827708577308
Bangladesh,0.2782258064516129,0.009357846831817873,0.004072088413299821,0.8352900151110079,0.2264341707740445,0.02147659900029515,0.029222542200216042,0.07305194805194802,0.5085988159007612,0.14603495328246324,0.7370202588407577,0.2358945717211605,0.9593017828806123,0.42355929155803285,0.6484592113850461,0.00346319301858671,0.05568758914044532,0.22349823321554774,0.4172931022482077,0.025703381643112283,0.3658001604698148,0.1424668992422924,0.9999999999999999,0.17938144329896905,0.2776240153289342,0.33052339361967437,0.2896573273617332,0.2950018305889482,0.6082936053129168,0.007346048873818956,0.3954048101574237,0.08746394668931615,0.0058781868031414055,0.14084956882785052
Barbados,1.0,0.005388557546944722,0.0006879184146762009,0.2651400674183425,0.03415001982985255,0.05508047130641443,0.19463527970509004,0.26948051948051943,0.29724649938915504,0.1479145888140775,0.8232217232729292,0.27074367765711205,0.0,0.726714915040906,0.6843113308844294,0.05498882353142134,1.0,0.08745583038869259,0.46566310420977364,0.01852683807178542,0.9577099062743974,0.48344604564396165,0.5018163568872672,0.0,0.3815201192250379,0.8755922637786973,0.04718258514738048,0.559433326424231,0.35441245295250534,9.016973680261608e-05,0.24200245708064078,0.0,5.681990996383914e-06,0.27460165371375844
Belarus,0.996975806451613,0.01172858394853315,0.0,0.4548413344182262,0.14755695387279602,0.0024148100672000705,0.2864319217389521,0.3831168831168831,0.29555492904802183,0.4428695429665275,0.49683035919227325,0.2759260781082358,0.0,0.8382405825766428,0.2857620102848413,0.002614932654610824,0.21034745270849173,0.0061837455830388716,0.4764113783481083,0.3837822264488317,0.4445222030246558,0.5334471552836909,0.033634408317904076,0.0,0.6199701937406856,0.8001530558343419,0.0858243932923654,0.12418104086391324,0.3444396342434263,0.002007818294019636,0.6791844989261323,0.24795533122361788,0.02121688861526203,0.11533411405656695
